episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
1,-128.771391,891,44.550000000000004,0,7.97251981379391,44.550000000000004,44.550000000000004,0.40246561691165006
2,-68.004386,568,28.400000000000002,0,7.538766092056405,28.400000000000002,28.400000000000002,0.4477422427386046
3,-91.513435,731,36.550000000000004,0,8.625369522089121,36.550000000000004,36.550000000000004,0.2602762408554554
4,-7.753839,256,12.8,0,8.189809073586026,12.8,12.8,3.2477628584951157
5,10.135119,167,8.35,0,8.625369522089121,8.35,8.35,2.1439285732805713
6,-44.863416,429,21.450000000000003,0,7.538766092056405,21.450000000000003,21.450000000000003,1.2038197539746762
7,61.695149,155,7.75,0,14.720658923909271,7.75,7.75,4.344816660135983
8,20.481576,108,5.4,0,9.062432061839337,5.4,5.4,3.4532822594046566
9,-62.472087,554,27.700000000000003,0,9.062432061839337,27.700000000000003,27.700000000000003,0.30000000000000004
10,0.051684,124,6.2,0,6.889680882794986,6.2,6.2,4.056340594589711
11,25.771783,133,6.65,0,9.941894489775144,6.65,6.65,4.3755001947283745
12,89.470901,124,6.2,0,17.60673886660105,6.2,6.2,4.3760616481304195
13,320.462349,213,10.65,0,47.57217925240592,10.65,10.65,9.7494076922536
14,29.517249,137,6.8500000000000005,0,10.384662440274106,6.8500000000000005,6.8500000000000005,3.121040211617945
15,47.813979,122,6.1000000000000005,0,12.406856837229753,6.1000000000000005,6.1000000000000005,4.113376419246195
16,157.485541,128,6.4,0,26.073046889793368,6.4,6.4,8.235485829412944
17,18.428093,108,5.4,0,8.843699251333502,5.4,5.4,5.032505464553835
18,34.704234,118,5.9,0,10.829672483379195,5.9,5.9,3.6255394890904395
19,80.247312,139,6.95,0,16.63033539313807,6.95,6.95,4.7191321045160315
20,160.980974,208,10.4,0,27.529513073922367,10.4,10.4,6.321006721258169
21,341.880067,213,10.65,0,50.15341490565909,10.65,10.65,9.99725966155531
22,-12.483986,382,19.1,0,10.384662440274106,19.1,19.1,0.9212635070085526
23,171.098423,168,8.4,0,28.424475085138514,8.4,8.4,8.29157237112523
24,151.355758,177,8.85,0,26.073046889793368,8.85,8.85,6.907878863811498
25,72.487093,143,7.15,0,15.668559652256038,7.15,7.15,6.436468389630323
26,76.547467,97,4.8500000000000005,0,15.668559652256038,4.8500000000000005,4.8500000000000005,7.761540426313884
27,176.110624,132,6.6000000000000005,0,28.424475085138514,6.6000000000000005,6.6000000000000005,9.674397522211088
28,162.558715,143,7.15,0,26.94174565147352,7.15,7.15,8.728011614084258
29,354.862931,172,8.6,0,51.076023766434076,8.6,8.6,11.138154347240945
30,117.545603,180,9.0,0,21.94128055409797,9.0,9.0,7.726086084544665
31,304.57959,232,11.600000000000001,0,45.88845192267415,11.600000000000001,11.600000000000001,9.411528204381481
32,103.712533,104,5.2,0,19.100608773813956,5.2,5.2,7.7802411675453245
33,236.020114,199,9.950000000000001,0,36.84294626897551,9.950000000000001,9.950000000000001,10.100951474905022
34,146.981912,124,6.2,0,24.658278994156234,6.2,6.2,7.130697990953931
35,284.375498,154,7.7,0,42.073253017457304,7.7,7.7,9.924436077475555
36,182.30732,166,8.3,0,29.643132035900578,8.3,8.3,9.066558261215697
37,166.503202,135,6.75,0,27.234752880695684,6.75,6.75,9.138470417261129
38,109.318486,109,5.45,0,19.86159696899019,5.45,5.45,7.596763975918299
39,249.93051,133,6.65,0,37.53205367625888,6.65,6.65,10.979567594826236
40,400.750155,165,8.25,0,56.81597323118724,8.25,8.25,14.197555911541006
41,289.098333,160,8.0,0,42.77352914724446,8.0,8.0,11.31999130547048
42,156.926226,135,6.75,0,26.073046889793368,6.75,6.75,8.496266618371017
43,331.757871,143,7.15,0,47.90320326989315,7.15,7.15,12.44178936928512
44,129.452936,124,6.2,0,22.74173017312694,6.2,6.2,9.023912376165399
45,137.594636,119,5.95,0,23.55442210222561,5.95,5.95,9.834634928405295
46,208.811473,145,7.25,0,32.81715453545058,7.25,7.25,10.219740338623536
47,321.853311,187,9.35,0,47.239096744977694,9.35,9.35,11.514240776002422
48,96.019542,102,5.1000000000000005,0,18.10068021410902,5.1000000000000005,5.1000000000000005,6.758196857571611
49,316.922258,176,8.8,0,46.56720931120941,8.8,8.8,12.519767743349089
50,293.995481,169,8.450000000000001,0,43.47190863864197,8.450000000000001,8.450000000000001,10.860436414182201
51,30.550731,74,3.7,0,9.721302137051246,3.7,3.7,6.733509340882304
52,20.083577,73,3.6500000000000004,0,8.407415652863971,3.6500000000000004,3.6500000000000004,5.263286317884926
53,66.056105,90,4.5,0,14.251686430120523,4.5,4.5,7.041615101695066
54,135.031679,123,6.15,0,23.282121311279347,6.15,6.15,9.521485622227203
55,64.161446,86,4.3,0,14.018405472486181,4.3,4.3,7.687341427803047
56,62.587815,122,6.1000000000000005,0,14.251686430120523,6.1000000000000005,6.1000000000000005,5.248430648446085
57,222.843247,138,6.9,0,34.4689403735648,6.9,6.9,12.067780248820798
58,75.151137,95,4.75,0,15.43031206730433,4.75,4.75,6.4060411870479665
59,95.837253,97,4.8500000000000005,0,18.10068021410902,4.8500000000000005,4.8500000000000005,7.681369672715671
60,86.865455,110,5.5,0,17.116659231770235,5.5,5.5,7.133304333686837
61,300.832003,147,7.3500000000000005,0,44.1675103680597,7.3500000000000005,7.3500000000000005,13.542089429497736
62,283.651853,164,8.200000000000001,0,42.4235738179923,8.200000000000001,8.200000000000001,11.555262914299984
63,51.069528,80,4.0,0,12.406856837229753,4.0,4.0,7.579079595208175
64,87.563823,98,4.9,0,17.116659231770235,4.9,4.9,7.949355742335326
65,208.598897,151,7.550000000000001,0,32.81715453545058,7.550000000000001,7.550000000000001,11.655711869895468
66,251.916628,124,6.2,0,37.87806824654545,6.2,6.2,12.471696160733718
67,95.201346,89,4.45,0,17.853219940729172,4.45,4.45,8.323422633111486
68,138.554741,98,4.9,0,23.282121311279347,4.9,4.9,9.04468966573478
69,135.857908,109,5.45,0,23.011232759173826,5.45,5.45,8.646383097767838
70,183.125451,131,6.550000000000001,0,29.33572405839185,6.550000000000001,6.550000000000001,9.701727944612522
71,90.651278,107,5.3500000000000005,0,17.36122310839925,5.3500000000000005,5.3500000000000005,7.506618610024458
72,97.686124,88,4.4,0,18.10068021410902,4.4,4.4,7.213009625673299
73,125.815074,128,6.4,0,22.206779425349822,6.4,6.4,8.73225662112237
74,206.281844,175,8.75,0,33.144251539058736,8.75,8.75,10.934801191091555
75,53.738105,92,4.6000000000000005,0,12.863594417655344,4.6000000000000005,4.6000000000000005,6.462910598516473
76,241.323509,149,7.45,0,36.84294626897551,7.45,7.45,11.225507090985786
77,116.210501,101,5.050000000000001,0,20.63258443458095,5.050000000000001,5.050000000000001,7.780646109581003
78,312.233331,146,7.300000000000001,0,45.54678306114241,7.300000000000001,7.300000000000001,12.361481474339977
